"","date","Cs","EV","PP","PSOE","UP","UPL","Vox","XAV","Cs.min","EV.min","PP.min","PSOE.min","UP.min","UPL.min","Vox.min","XAV.min","Cs.max","EV.max","PP.max","PSOE.max","UP.max","UPL.max","Vox.max","XAV.max","Cs.enc","EV.enc","PP.enc","PSOE.enc","UP.enc","UPL.enc","Vox.enc","XAV.enc"
"1",2021-10-25,5.27,NA,38.53,30.4,4.86,2.67,13.88,0.6,3.47,NA,34.28,26.75,3.1,1.07,11.45,0,7.06,NA,42.77,34.04,6.62,4.27,16.31,2.05,5.3,NA,36.8,30,5,2.7,14.3,0.6
"2",2021-10-26,5.27,NA,38.53,30.4,4.86,2.67,13.88,0.6,3.48,NA,34.28,26.75,3.1,1.07,11.45,0,7.06,NA,42.77,34.04,6.62,4.27,16.3,2.05,NA,NA,NA,NA,NA,NA,NA,NA
"3",2021-10-27,5.27,NA,38.53,30.4,4.86,2.67,13.88,0.6,3.48,NA,34.28,26.76,3.1,1.07,11.46,0,7.06,NA,42.77,34.04,6.62,4.27,16.3,2.05,NA,NA,NA,NA,NA,NA,NA,NA
"4",2021-10-28,5.27,NA,38.53,30.4,4.87,2.67,13.88,0.6,3.48,NA,34.29,26.76,3.11,1.08,11.46,0,7.05,NA,42.76,34.04,6.62,4.27,16.3,2.04,NA,NA,NA,NA,NA,NA,NA,NA
"5",2021-10-29,5.27,NA,38.53,30.4,4.87,2.67,13.88,0.6,3.48,NA,34.29,26.76,3.11,1.08,11.46,0,7.05,NA,42.76,34.04,6.62,4.26,16.3,2.04,NA,NA,NA,NA,NA,NA,NA,NA
"6",2021-10-30,5.27,NA,38.53,30.4,4.87,2.67,13.88,0.6,3.48,NA,34.29,26.77,3.12,1.08,11.47,0,7.05,NA,42.76,34.04,6.62,4.26,16.3,2.04,NA,NA,NA,NA,NA,NA,NA,NA
"7",2021-10-31,5.27,NA,38.53,30.4,4.87,2.67,13.89,0.6,3.49,NA,34.29,26.77,3.12,1.08,11.47,0,7.05,NA,42.76,34.04,6.62,4.26,16.3,2.04,NA,NA,NA,NA,NA,NA,NA,NA
"8",2021-11-01,5.27,NA,38.52,30.4,4.87,2.67,13.89,0.6,3.49,NA,34.29,26.77,3.12,1.08,11.47,0,7.05,NA,42.76,34.04,6.62,4.26,16.3,2.04,NA,NA,NA,NA,NA,NA,NA,NA
"9",2021-11-02,5.27,NA,38.52,30.41,4.88,2.67,13.89,0.6,3.49,NA,34.29,26.77,3.13,1.09,11.48,0,7.04,NA,42.75,34.04,6.62,4.26,16.3,2.04,NA,NA,NA,NA,NA,NA,NA,NA
"10",2021-11-03,5.27,NA,38.52,30.41,4.88,2.67,13.89,0.6,3.49,NA,34.3,26.78,3.13,1.09,11.48,0,7.04,NA,42.75,34.04,6.62,4.26,16.3,2.03,NA,NA,NA,NA,NA,NA,NA,NA
