"","date","party","vote_share"
"1","2021-10-25","Cs",5.27
"2","2021-10-26","Cs",5.27
"3","2021-10-27","Cs",5.27
"4","2021-10-28","Cs",5.27
"5","2021-10-29","Cs",5.27
"6","2021-10-30","Cs",5.27
"7","2021-10-31","Cs",5.27
"8","2021-11-01","Cs",5.27
"9","2021-11-02","Cs",5.27
"10","2021-11-03","Cs",5.27
"11","2021-11-04","Cs",5.27
"12","2021-11-05","Cs",5.27
"13","2021-11-06","Cs",5.27
"14","2021-11-07","Cs",5.27
"15","2021-11-08","Cs",5.27
"16","2021-11-09","Cs",5.27
"17","2021-11-10","Cs",5.27
"18","2021-11-11","Cs",5.27
"19","2021-11-12","Cs",6.18
"20","2021-11-13","Cs",6.18
"21","2021-11-14","Cs",6.18
"22","2021-11-15","Cs",6.18
"23","2021-11-16","Cs",6.18
"24","2021-11-17","Cs",6.18
"25","2021-11-18","Cs",6.18
"26","2021-11-19","Cs",6.18
"27","2021-11-20","Cs",6.18
"28","2021-11-21","Cs",6.18
"29","2021-11-22","Cs",6.18
"30","2021-11-23","Cs",6.18
"31","2021-11-24","Cs",6.18
"32","2021-11-25","Cs",6.18
"33","2021-11-26","Cs",6.18
"34","2021-11-27","Cs",6.18
"35","2021-11-28","Cs",6.18
"36","2021-11-29","Cs",6.18
"37","2021-11-30","Cs",6.18
"38","2021-12-01","Cs",6.18
"39","2021-12-02","Cs",6.18
"40","2021-12-03","Cs",6.18
"41","2021-12-04","Cs",6.18
"42","2021-12-05","Cs",6.18
"43","2021-12-06","Cs",6.18
"44","2021-12-07","Cs",6.18
"45","2021-12-08","Cs",6.18
"46","2021-12-09","Cs",6.18
"47","2021-12-10","Cs",6.18
"48","2021-12-11","Cs",6.18
"49","2021-12-12","Cs",6.18
"50","2021-12-13","Cs",6.18
"51","2021-12-14","Cs",6.18
"52","2021-12-15","Cs",5.06
"53","2021-12-16","Cs",5.06
"54","2021-12-17","Cs",5.06
"55","2021-12-18","Cs",5.06
"56","2021-12-19","Cs",5.06
"57","2021-12-20","Cs",5.17
"58","2021-12-20","Cs",5.17
"59","2021-12-21","Cs",5.09
"60","2021-12-22","Cs",4.94
"61","2021-12-23","Cs",4.97
"62","2021-12-23","Cs",4.97
"63","2021-12-23","Cs",4.97
"64","2021-12-24","Cs",4.97
"65","2021-12-25","Cs",4.97
"66","2021-12-26","Cs",4.91
"67","2021-12-27","Cs",4.91
"68","2021-12-28","Cs",4.91
"69","2021-12-29","Cs",4.91
"70","2021-12-30","Cs",4.91
"71","2021-12-31","Cs",4.91
"72","2022-01-01","Cs",4.91
"73","2022-01-02","Cs",4.86
"74","2022-01-03","Cs",4.86
"75","2022-01-04","Cs",4.86
"76","2022-01-05","Cs",4.86
"77","2022-01-06","Cs",4.87
"78","2022-01-07","Cs",4.92
"79","2022-01-08","Cs",4.92
"80","2022-01-09","Cs",4.9
"81","2022-01-10","Cs",4.9
"82","2022-01-11","Cs",4.9
"83","2022-01-12","Cs",4.9
"84","2022-01-13","Cs",4.9
"85","2022-01-14","Cs",4.36
"86","2022-01-15","Cs",4.36
"87","2022-01-16","Cs",4.37
"88","2022-01-17","Cs",4.37
"89","2022-01-18","Cs",4.38
"90","2022-01-19","Cs",4.31
"91","2022-01-20","Cs",4.31
"92","2022-01-21","Cs",4.22
"93","2022-01-21","Cs",4.22
"94","2022-01-22","Cs",5.28
"95","2022-01-23","Cs",5.27
"96","2022-01-24","Cs",5.17
"97","2022-01-25","Cs",4.46
"98","2022-01-25","Cs",4.46
"99","2022-01-25","Cs",4.46
"100","2022-01-26","Cs",4.46
"101","2022-01-27","Cs",4.46
"102","2022-01-28","Cs",4.38
"103","2022-01-29","Cs",4.38
"104","2022-01-30","Cs",4.4
"105","2022-01-31","Cs",4.74
"106","2022-01-31","Cs",4.74
"107","2022-02-01","Cs",4.71
"108","2022-02-01","Cs",4.71
"109","2022-02-02","Cs",5.2
"110","2022-02-02","Cs",5.2
"111","2022-02-02","Cs",5.2
"112","2022-02-03","Cs",4.96
"113","2022-02-03","Cs",4.96
"114","2022-02-03","Cs",4.96
"115","2022-02-04","Cs",4.87
"116","2022-02-04","Cs",4.87
"117","2022-02-05","Cs",4.9
"118","2022-02-06","Cs",4.91
"119","2022-02-07","Cs",4.91
"120","2021-10-25","EV",NA
"121","2021-10-26","EV",NA
"122","2021-10-27","EV",NA
"123","2021-10-28","EV",NA
"124","2021-10-29","EV",NA
"125","2021-10-30","EV",NA
"126","2021-10-31","EV",NA
"127","2021-11-01","EV",NA
"128","2021-11-02","EV",NA
"129","2021-11-03","EV",NA
"130","2021-11-04","EV",NA
"131","2021-11-05","EV",NA
"132","2021-11-06","EV",NA
"133","2021-11-07","EV",NA
"134","2021-11-08","EV",NA
"135","2021-11-09","EV",NA
"136","2021-11-10","EV",NA
"137","2021-11-11","EV",NA
"138","2021-11-12","EV",NA
"139","2021-11-13","EV",NA
"140","2021-11-14","EV",NA
"141","2021-11-15","EV",NA
"142","2021-11-16","EV",NA
"143","2021-11-17","EV",NA
"144","2021-11-18","EV",NA
"145","2021-11-19","EV",NA
"146","2021-11-20","EV",NA
"147","2021-11-21","EV",NA
"148","2021-11-22","EV",NA
"149","2021-11-23","EV",NA
"150","2021-11-24","EV",NA
"151","2021-11-25","EV",NA
"152","2021-11-26","EV",NA
"153","2021-11-27","EV",NA
"154","2021-11-28","EV",NA
"155","2021-11-29","EV",NA
"156","2021-11-30","EV",NA
"157","2021-12-01","EV",NA
"158","2021-12-02","EV",NA
"159","2021-12-03","EV",NA
"160","2021-12-04","EV",NA
"161","2021-12-05","EV",NA
"162","2021-12-06","EV",NA
"163","2021-12-07","EV",NA
"164","2021-12-08","EV",NA
"165","2021-12-09","EV",NA
"166","2021-12-10","EV",NA
"167","2021-12-11","EV",NA
"168","2021-12-12","EV",NA
"169","2021-12-13","EV",NA
"170","2021-12-14","EV",NA
"171","2021-12-15","EV",NA
"172","2021-12-16","EV",NA
"173","2021-12-17","EV",NA
"174","2021-12-18","EV",NA
"175","2021-12-19","EV",NA
"176","2021-12-20","EV",0.77
"177","2021-12-20","EV",0.77
"178","2021-12-21","EV",0.78
"179","2021-12-22","EV",0.78
"180","2021-12-23","EV",0.92
"181","2021-12-23","EV",0.92
"182","2021-12-23","EV",0.92
"183","2021-12-24","EV",0.93
"184","2021-12-25","EV",0.93
"185","2021-12-26","EV",1.33
"186","2021-12-27","EV",1.33
"187","2021-12-28","EV",1.34
"188","2021-12-29","EV",1.34
"189","2021-12-30","EV",1.35
"190","2021-12-31","EV",1.35
"191","2022-01-01","EV",1.36
"192","2022-01-02","EV",1.83
"193","2022-01-03","EV",1.83
"194","2022-01-04","EV",1.84
"195","2022-01-05","EV",1.85
"196","2022-01-06","EV",1.85
"197","2022-01-07","EV",1.54
"198","2022-01-08","EV",1.54
"199","2022-01-09","EV",1.93
"200","2022-01-10","EV",1.93
"201","2022-01-11","EV",1.94
"202","2022-01-12","EV",1.95
"203","2022-01-13","EV",1.95
"204","2022-01-14","EV",1.6
"205","2022-01-15","EV",1.61
"206","2022-01-16","EV",2.02
"207","2022-01-17","EV",2.03
"208","2022-01-18","EV",2.25
"209","2022-01-19","EV",2.84
"210","2022-01-20","EV",2.85
"211","2022-01-21","EV",2.78
"212","2022-01-21","EV",2.78
"213","2022-01-22","EV",2.8
"214","2022-01-23","EV",2.9
"215","2022-01-24","EV",3.15
"216","2022-01-25","EV",4
"217","2022-01-25","EV",4
"218","2022-01-25","EV",4
"219","2022-01-26","EV",4.01
"220","2022-01-27","EV",4.01
"221","2022-01-28","EV",3.38
"222","2022-01-29","EV",3.38
"223","2022-01-30","EV",3.48
"224","2022-01-31","EV",3.68
"225","2022-01-31","EV",3.68
"226","2022-02-01","EV",3.47
"227","2022-02-01","EV",3.47
"228","2022-02-02","EV",4.06
"229","2022-02-02","EV",4.06
"230","2022-02-02","EV",4.06
"231","2022-02-03","EV",3.97
"232","2022-02-03","EV",3.97
"233","2022-02-03","EV",3.97
"234","2022-02-04","EV",3.82
"235","2022-02-04","EV",3.82
"236","2022-02-05","EV",3.92
"237","2022-02-06","EV",3.97
"238","2022-02-07","EV",3.97
"239","2021-10-25","PP",38.53
"240","2021-10-26","PP",38.53
"241","2021-10-27","PP",38.53
"242","2021-10-28","PP",38.53
"243","2021-10-29","PP",38.53
"244","2021-10-30","PP",38.53
"245","2021-10-31","PP",38.53
"246","2021-11-01","PP",38.52
"247","2021-11-02","PP",38.52
"248","2021-11-03","PP",38.52
"249","2021-11-04","PP",38.52
"250","2021-11-05","PP",38.52
"251","2021-11-06","PP",38.52
"252","2021-11-07","PP",38.52
"253","2021-11-08","PP",38.52
"254","2021-11-09","PP",38.52
"255","2021-11-10","PP",38.52
"256","2021-11-11","PP",38.52
"257","2021-11-12","PP",39.37
"258","2021-11-13","PP",39.37
"259","2021-11-14","PP",39.36
"260","2021-11-15","PP",39.36
"261","2021-11-16","PP",39.36
"262","2021-11-17","PP",39.36
"263","2021-11-18","PP",39.36
"264","2021-11-19","PP",39.36
"265","2021-11-20","PP",39.36
"266","2021-11-21","PP",39.36
"267","2021-11-22","PP",39.35
"268","2021-11-23","PP",39.35
"269","2021-11-24","PP",39.35
"270","2021-11-25","PP",39.35
"271","2021-11-26","PP",39.35
"272","2021-11-27","PP",39.34
"273","2021-11-28","PP",39.34
"274","2021-11-29","PP",39.34
"275","2021-11-30","PP",39.34
"276","2021-12-01","PP",39.33
"277","2021-12-02","PP",39.33
"278","2021-12-03","PP",39.33
"279","2021-12-04","PP",39.32
"280","2021-12-05","PP",39.32
"281","2021-12-06","PP",39.32
"282","2021-12-07","PP",39.31
"283","2021-12-08","PP",39.31
"284","2021-12-09","PP",39.3
"285","2021-12-10","PP",39.3
"286","2021-12-11","PP",39.29
"287","2021-12-12","PP",39.29
"288","2021-12-13","PP",39.28
"289","2021-12-14","PP",39.28
"290","2021-12-15","PP",39.81
"291","2021-12-16","PP",39.81
"292","2021-12-17","PP",39.8
"293","2021-12-18","PP",39.8
"294","2021-12-19","PP",39.79
"295","2021-12-20","PP",39.62
"296","2021-12-20","PP",39.62
